content,label,num_words,num_unique_words,words_vs_unique
"vietnam natl univ, univ sci, fac biol biotechnol, ho chi minh city, vietnam",0,13,12,85.71428571428571
"hanoi natl univ, dept phys, coll nat sci, 334 nguyen trai, hanoi, vietnam",9,13,13,92.85714285714286
"ton duc thang univ, inst computat sci, div computat phys, ho chi minh city 70000, vietnam",5,16,15,88.23529411764706
"ho chi minh city natl univ, univ sci, ctr math sci, 227 nguyen van cu st,ward 4,dist 5, ho chi minh city, vietnam",0,23,19,79.16666666666666
"vnu univ engn & technol uet, vnu, 144 xuan thuy, hanoi, vietnam",9,12,12,92.3076923076923
"vietnam natl univ, vnu univ sci, dept biochem & plant physiol, fac biol, 334 nguyen trai st, hanoi 120564, vietnam",9,20,19,90.47619047619048
"vietnam natl univ, vnu univ engn & technol, fac engn phys & nanotechnol, bldg e3,144 xuanthuy, hanoi, vietnam",9,18,15,78.94736842105263
"hanoi univ agr, dept aquaculture, hanoi, vietnam",3,7,7,87.5
"ton duc thang univ, div algorithms & technol networks anal, fac informat technol, ho chi minh city, vietnam",5,18,18,94.73684210526315
"tdt ton duc thang univ, ho chi minh city, vietnam",5,10,10,90.9090909090909
"ho chi minh city univ technol, vnu hcm, fac civil engn, ho chi minh city, vietnam",0,16,13,76.47058823529412
"vast, nhatrang inst technol & res applicat, nhatrang, vietnam",1,9,9,90.0
"vietnam natl univ, john von neumann inst, quantitat computat finance lab, hcmc, vietnam",0,13,12,85.71428571428571
"vietnam natl univ, univ sci, hanoi 100000, vietnam",9,8,7,77.77777777777779
"ton duc thang univ, ngan pham thi inst, ho chi minh city, vietnam",5,13,13,92.85714285714286
"hue univ med & pharm, obstet & gynecol, hue city, vietnam",7,11,9,75.0
"vast, inst mat sci, 18 hoang quoc viet, hanoi, vietnam",1,10,10,90.9090909090909
"vietnam natl univ forestry, hanoi 100000, vietnam",2,7,6,75.0
"vast, hanoi inst math, hanoi, vietnam",1,6,6,85.71428571428571
"vietnam natl univ agr, fac vet med, dept vet surg & reprod, hanoi, vietnam",3,14,12,80.0
"vietnam natl univ ho chi minh city, int univ, dept math, ho chi minh city, vietnam",0,16,11,64.70588235294117
"vietnam acad sci & technol, inst mech, doi can ba dinh ha noi 264, vietnam",1,15,14,87.5
"vietnam acad sci & technol, inst math, 18 hoang quoc viet st, hanoi 10307, vietnam",1,15,14,87.5
"vietnam natl univ, univ technol, fac sci appl, hochiminh city, vietnam",0,11,10,83.33333333333334
"univ sci & technol hanoi, dept biotechnol pharmacol, 18 hoang quoc viet rd, hanoi 1000, vietnam",1,16,16,94.11764705882352
"vietnam natl univ ho chi minh city, int univ, sch biotechnol, quarter 6, ho chi minh city, vietnam",0,18,13,68.42105263157895
"vast, nhatrang inst technol res & applicat, nha trang, vietnam",1,10,10,90.9090909090909
"vnu hanoi univ sci, fac chem, 19 le thanh tong, hanoi, vietnam",9,12,12,92.3076923076923
"vietnam natl univ, vnu univ sci, fac phys, hanoi, vietnam",9,10,9,81.81818181818183
"vietnam acad sci & technol, inst appl mech & informat, hcm city, vietnam",1,13,11,78.57142857142857
